Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Mtwara,Newala,Nakahako,Lukohe,NA,23/11/2016,23-Nov-16,0,0,Lukohe,Nakahako,Newala,Mtwara
Mtwara,Newala,Nakahako,LUKOHE,HUSSEIN TULLY,07/03/2011,07-Mar-11,0,0,Lukohe,Nakahako,Newala,Mtwara
Mtwara,Newala,Nakahako,Lukohe,Hassani Khaji,30/07/2014,30-Jun-14,0,0,Lukohe,Nakahako,Newala,Mtwara
Mtwara,Tandahimba,Lukokoda,Lukokoda,Allein Msonde,01/11/2016,01-Nov-16,2,8,Lukokoda,Lukokoda,Tandahimba,Mtwara
Mtwara,Tandahimba,Lukokoda,Lukokoda,Alaina D Lumen,22/08/2015,22-Aug-15,6,5,Lukokoda,Lukokoda,Tandahimba,Mtwara
Mtwara,Tandahimba,Lukokoda,Lukokoda,Lihumbo K.,26/06/2011,26-Jun-11,17,6,Lukokoda,Lukokoda,Tandahimba,Mtwara
Mtwara,Tandahimba,Lukokoda,Lukokoda,Allen Msonde,23/06/2014,23-Jun-14,1,28,Lukokoda,Lukokoda,Tandahimba,Mtwara
Morogoro,Kilombero,Mchombe,Mkusi,NA,27/11/2016,27-Nov-16,47,15,Lukolongo,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mchombe,Lukorongo,NA,23/11/2016,23-Nov-16,187,14,Lukolongo,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mchombe ,Lukolongo ,Charles Herman,06/01/2015,06-Jan-15,175,22,Lukolongo,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mchombe ,Mkusi ,Andrew Mwaisumo,06/01/2015,06-Jan-15,58,15,Lukolongo,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mchombe  ,Lukolongo,NA,24/10/2011,24-Oct-11,118,40,Lukolongo,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mchombe  ,Lukolongo,NA,22/07/2010,22-Jul-10,16,0,Lukolongo,Mchombe,Kilombero,Morogoro
Dar-es-salaam,Ilala,Chanika,Lukooni,L tarimo,08/04/2013,08-Apr-13,326,2,Lukooni,Chanika,Ilala,Dar-es-salaam
Mtwara,Nanyumbu,Masuguru,Mtambaswala,NA,09/11/2016,09-Nov-16,22,2,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru  ,Lukula,NA,07/11/2016,07-Nov-16,19,3,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru,Mtambaswala,NA,29/08/2015,29-Aug-15,14,0,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru  ,Lukula,NA,27/08/2015,27-Aug-15,19,3,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru,Lukula,J.Mnali,26/06/2012,26-Jun-12,44,2,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru,Mtambaswala,F.Kwingwa,26/06/2012,26-Jun-12,28,1,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru,Lukula,"D,Marijani",19/02/2011,19-Feb-11,27,2,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru,Mtambaswala,J   Mnali,19/02/2011,19-Feb-11,22,0,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru,Lukula,David Marijani,17/06/2014,17-Jun-14,54,6,Lukula,Masuguru,Nanyumbu,Mtwara
Mtwara,Masasi  ,Lukuledi,Lukuledi ,NA,10/11/2016,10-Nov-16,98,13,Lukuledi 'A',Lukuledi,Masasi,Mtwara
Mtwara,Masasi rural,Lukuledi,Lukuledi A,Sigrinde Mwambe,07/09/2015,07-Sep-15,25,5,Lukuledi 'A',Lukuledi,Masasi,Mtwara
mtwara,Masasi,Lukuledi,Lukuledi,Senzia,24/02/2011,24-Feb-11,1724,0,Lukuledi 'A',Lukuledi,Masasi,Mtwara
Mtwara,Masasi rural,Lukuledi,Lukuledi B,Horcea Pawasa,09/09/2015,09-Sep-15,15,5,Lukuledi 'B',Lukuledi,Masasi,Mtwara
mtwara,Masasi,Lukuledi,Lukuledi,Yasini Mwilula,23/06/2012,23-Jun-12,63,20,Lukuledi 'B',Lukuledi,Masasi,Mtwara
Mtwara,Masasi,Lukuledi,"Lukuledi""A""",Stephen Mwanache,21/06/2014,21-Jun-14,18,13,"Lukuledi""A""",Lukuledi,Masasi,Mtwara
Mtwara,Masasi,Lukuledi,Lukuledi'B',Stephen Mwanache,22/06/2014,22-Jun-14,7,2,Lukuledi'B',Lukuledi,Masasi,Mtwara
Morogoro,Morogoro urban,Bigwa,Lukuyu,NA,05/11/2016,05-Nov-16,64,3,Lukuyu,Bigwa,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kiwanja Cha Ndege,Lukwangule,NA,14/11/2016,14-Nov-16,12,3,Lukwangule,Kiwanja Cha Ndege,Morogoro Urban,Morogoro
Mtwara,Nanyumbu,Masuguru  ,Lukwika,NA,05/11/2016,05-Nov-16,16,3,Lukwika,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru  ,Lukwika,NA,27/08/2015,27-Aug-15,9,1,Lukwika,Masuguru,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Masuguru,Lukwika,David Marijani,16/06/2014,16-Jun-14,7,0,Lukwika,Masuguru,Nanyumbu,Mtwara
Mtwara,Masasi rural,Lulindi,Lulindi,Enock Mhando,05/09/2015,05-Sep-15,8,0,Lulindi,Lulindi,Masasi,Mtwara
mtwara,Masasi,Lulindi,Lulindi,Saidi Makunganya,23/06/2012,23-Jun-12,75,20,Lulindi,Lulindi,Masasi,Mtwara
